"","Cohort","Population","Sample"
"2911","EUR","TSI","NA20512"
"2912","EUR","TSI","NA20513"
"2913","EUR","TSI","NA20514"
"2914","EUR","TSI","NA20515"
"2915","EUR","TSI","NA20516"
"2916","EUR","TSI","NA20517"
"2917","EUR","TSI","NA20518"
"2918","EUR","TSI","NA20519"
"2919","EUR","TSI","NA20520"
"2920","EUR","TSI","NA20521"
"2921","EUR","TSI","NA20522"
"2922","EUR","TSI","NA20524"
"2923","EUR","TSI","NA20525"
"2924","EUR","TSI","NA20527"
"2925","EUR","TSI","NA20528"
"2926","EUR","TSI","NA20529"
"2927","EUR","TSI","NA20530"
"2928","EUR","TSI","NA20531"
"2929","EUR","TSI","NA20532"
"2930","EUR","TSI","NA20533"
"2931","EUR","TSI","NA20534"
"2932","EUR","TSI","NA20535"
"2933","EUR","TSI","NA20536"
"2934","EUR","TSI","NA20538"
"2935","EUR","TSI","NA20539"
"2936","EUR","TSI","NA20540"
"2937","EUR","TSI","NA20541"
"2938","EUR","TSI","NA20542"
"2939","EUR","TSI","NA20543"
"2940","EUR","TSI","NA20544"
"2941","EUR","TSI","NA20581"
"2942","EUR","TSI","NA20582"
"2943","EUR","TSI","NA20585"
"2944","EUR","TSI","NA20586"
"2945","EUR","TSI","NA20587"
"2946","EUR","TSI","NA20588"
"2947","EUR","TSI","NA20589"
"2948","EUR","TSI","NA20752"
"2949","EUR","TSI","NA20753"
"2950","EUR","TSI","NA20754"
"2951","EUR","TSI","NA20755"
"2952","EUR","TSI","NA20756"
"2953","EUR","TSI","NA20757"
"2954","EUR","TSI","NA20758"
"2955","EUR","TSI","NA20759"
"2956","EUR","TSI","NA20760"
"2957","EUR","TSI","NA20761"
"2958","EUR","TSI","NA20762"
"2959","EUR","TSI","NA20763"
"2960","EUR","TSI","NA20764"
"2961","EUR","TSI","NA20765"
"2962","EUR","TSI","NA20766"
"2963","EUR","TSI","NA20767"
"2964","EUR","TSI","NA20768"
"2965","EUR","TSI","NA20769"
"2966","EUR","TSI","NA20770"
"2967","EUR","TSI","NA20771"
"2968","EUR","TSI","NA20772"
"2969","EUR","TSI","NA20773"
"2970","EUR","TSI","NA20774"
"2971","EUR","TSI","NA20775"
"2972","EUR","TSI","NA20778"
"2973","EUR","TSI","NA20783"
"2974","EUR","TSI","NA20785"
"2975","EUR","TSI","NA20786"
"2976","EUR","TSI","NA20787"
"2977","EUR","TSI","NA20790"
"2978","EUR","TSI","NA20792"
"2979","EUR","TSI","NA20795"
"2980","EUR","TSI","NA20796"
"2981","EUR","TSI","NA20797"
"2982","EUR","TSI","NA20798"
"2983","EUR","TSI","NA20799"
"2984","EUR","TSI","NA20800"
"2985","EUR","TSI","NA20801"
"2986","EUR","TSI","NA20802"
"2987","EUR","TSI","NA20803"
"2988","EUR","TSI","NA20804"
"2989","EUR","TSI","NA20805"
"2990","EUR","TSI","NA20806"
"2991","EUR","TSI","NA20807"
"2992","EUR","TSI","NA20808"
"2993","EUR","TSI","NA20809"
"2994","EUR","TSI","NA20810"
"2995","EUR","TSI","NA20811"
"2996","EUR","TSI","NA20812"
"2997","EUR","TSI","NA20813"
"2998","EUR","TSI","NA20814"
"2999","EUR","TSI","NA20815"
"3000","EUR","TSI","NA20818"
"3001","EUR","TSI","NA20819"
"3002","EUR","TSI","NA20821"
"3003","EUR","TSI","NA20822"
"3004","EUR","TSI","NA20826"
"3005","EUR","TSI","NA20827"
"3006","EUR","TSI","NA20828"
"3007","EUR","TSI","NA20832"
"3008","SAS","GIH","NA20845"
"3009","SAS","GIH","NA20846"
"3010","SAS","GIH","NA20847"
"3011","SAS","GIH","NA20849"
"3012","SAS","GIH","NA20850"
"3013","SAS","GIH","NA20851"
"3014","SAS","GIH","NA20852"
"3015","SAS","GIH","NA20853"
"3016","SAS","GIH","NA20854"
"3017","SAS","GIH","NA20856"
"3018","SAS","GIH","NA20858"
"3019","SAS","GIH","NA20859"
"3020","SAS","GIH","NA20861"
"3021","SAS","GIH","NA20862"
"3022","SAS","GIH","NA20863"
"3023","SAS","GIH","NA20864"
"3024","SAS","GIH","NA20866"
"3025","SAS","GIH","NA20867"
"3026","SAS","GIH","NA20868"
"3027","SAS","GIH","NA20869"
"3028","SAS","GIH","NA20870"
"3029","SAS","GIH","NA20872"
"3030","SAS","GIH","NA20874"
"3031","SAS","GIH","NA20875"
"3032","SAS","GIH","NA20876"
"3033","SAS","GIH","NA20877"
"3034","SAS","GIH","NA20878"
"3035","SAS","GIH","NA20881"
"3036","SAS","GIH","NA20882"
"3037","SAS","GIH","NA20884"
"3038","SAS","GIH","NA20885"
"3039","SAS","GIH","NA20886"
"3040","SAS","GIH","NA20887"
"3041","SAS","GIH","NA20888"
"3042","SAS","GIH","NA20889"
"3043","SAS","GIH","NA20890"
"3044","SAS","GIH","NA20891"
"3045","SAS","GIH","NA20892"
"3046","SAS","GIH","NA20894"
"3047","SAS","GIH","NA20895"
"3048","SAS","GIH","NA20896"
"3049","SAS","GIH","NA20897"
"3050","SAS","GIH","NA20899"
"3051","SAS","GIH","NA20900"
"3052","SAS","GIH","NA20901"
"3053","SAS","GIH","NA20902"
"3054","SAS","GIH","NA20903"
"3055","SAS","GIH","NA20904"
"3056","SAS","GIH","NA20905"
"3057","SAS","GIH","NA20906"
"3058","SAS","GIH","NA20908"
"3059","SAS","GIH","NA20910"
"3060","SAS","GIH","NA20911"
"3061","SAS","GIH","NA21086"
"3062","SAS","GIH","NA21087"
"3063","SAS","GIH","NA21088"
"3064","SAS","GIH","NA21089"
"3065","SAS","GIH","NA21090"
"3066","SAS","GIH","NA21091"
"3067","SAS","GIH","NA21092"
"3068","SAS","GIH","NA21093"
"3069","SAS","GIH","NA21094"
"3070","SAS","GIH","NA21095"
"3071","SAS","GIH","NA21097"
"3072","SAS","GIH","NA21098"
"3073","SAS","GIH","NA21099"
"3074","SAS","GIH","NA21100"
"3075","SAS","GIH","NA21101"
"3076","SAS","GIH","NA21102"
"3077","SAS","GIH","NA21103"
"3078","SAS","GIH","NA21104"
"3079","SAS","GIH","NA21105"
"3080","SAS","GIH","NA21106"
"3081","SAS","GIH","NA21107"
"3082","SAS","GIH","NA21108"
"3083","SAS","GIH","NA21109"
"3084","SAS","GIH","NA21110"
"3085","SAS","GIH","NA21111"
"3086","SAS","GIH","NA21112"
"3087","SAS","GIH","NA21113"
"3088","SAS","GIH","NA21114"
"3089","SAS","GIH","NA21115"
"3090","SAS","GIH","NA21116"
"3091","SAS","GIH","NA21117"
"3092","SAS","GIH","NA21118"
"3093","SAS","GIH","NA21119"
"3094","SAS","GIH","NA21120"
"3095","SAS","GIH","NA21122"
"3096","SAS","GIH","NA21123"
"3097","SAS","GIH","NA21124"
"3098","SAS","GIH","NA21125"
"3099","SAS","GIH","NA21126"
"3100","SAS","GIH","NA21127"
"3101","SAS","GIH","NA21128"
"3102","SAS","GIH","NA21129"
"3103","SAS","GIH","NA21130"
"3104","SAS","GIH","NA21133"
"3105","SAS","GIH","NA21135"
"3106","SAS","GIH","NA21137"
"3107","SAS","GIH","NA21141"
"3108","SAS","GIH","NA21142"
"3109","SAS","GIH","NA21143"
"3110","SAS","GIH","NA21144"
